id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo
186,201719GRECAM2,19,2017,2017-08-06,19:00,Grêmio - Atlético-MG,2-0,1.64,3.74,5.37,15,Atlético-MG,14,2,visitante,0,0,-2,0.175124628114275,0.251448998121299,0.776822882464125,-0.776822882464125,-5.95137442928199,23,6,-4,3,0,1.5,,1,1
194,201720CAMFLA1,20,2017,2017-08-13,19:00,Atlético-MG - Flamengo,2-0,2.47,3.23,2.86,15,Atlético-MG,11,7,mandante,3,1,2,0.380467955239064,0.290946083418108,1.4323499491353,1.5676500508647,-4.38372437841729,26,7,-2,6,0,1.5,,1,1
209,201721FLUCAM2,21,2017,2017-08-21,23:00,Fluminense - Atlético-MG,2-1,2.24,3.26,3.22,15,Atlético-MG,13,8,visitante,0,0,-1,0.291951192208665,0.28836896899138,1.16422254561737,-1.16422254561737,-5.54794692403466,26,7,-3,3,0,1.5,,1,1
216,201722PONCAM2,22,2017,2017-08-27,19:00,Ponte Preta - Atlético-MG,1-2,2.47,3.13,2.96,16,Atlético-MG,10,13,visitante,3,1,1,0.318059332458418,0.300784544433519,1.25496254180877,1.74503745819123,-3.80290946584344,29,8,-2,6,0,1.5,,1,1
221,201723CAMPAL1,23,2017,2017-09-09,19:00,Atlético-MG - Palmeiras,1-1,2.06,3.33,3.64,15,Atlético-MG,11,4,mandante,1,0,0,0.457759616909749,0.283178621872097,1.65645747260134,-0.656457472601343,-4.45936693844478,30,8,-2,7,0,1.5,,1,1
233,201724AVACAM2,24,2017,2017-09-17,14:00,Avaí - Atlético-MG,1-1,3.69,3.18,2.1,16,Atlético-MG,10,13,visitante,1,0,0,0.44853447089583,0.296202009082152,1.64180542176964,-0.641805421769643,-5.10117236021442,31,8,-2,5,0,1.5,,1,1
248,201725CAMVIT1,25,2017,2017-09-24,22:00,Atlético-MG - Vitória,1-3,1.5,4.3,6.13,16,Atlético-MG,11,16,mandante,0,0,-2,0.627535472812113,0.218907723073993,2.10151414151033,-2.10151414151033,-7.20268650172475,31,8,-4,5,1,1.5,0,1,1
259,201726CAPCAM2,26,2017,2017-10-01,22:00,Atlético-PR - Atlético-MG,0-2,2.18,3.26,3.38,16,Atlético-MG,9,8,visitante,3,1,2,0.278763630658194,0.289024868596533,1.12531576057112,1.87468423942888,-5.32800226229587,34,9,-2,5,0,1.5,,1,1
265,201727CAMSAO1,27,2017,2017-10-12,00:45,Atlético-MG - São Paulo,1-0,2.11,3.41,3.42,16,Atlético-MG,8,17,mandante,3,1,1,0.447281722822022,0.276763763974917,1.61860893244098,1.38139106755902,-3.94661119473685,37,10,-1,7,0,1.5,,1,1
49,20095FLUBOT2,5,2009,2009-06-07,18:30,Fluminense - Botafogo,1-0,2.6,3.19,2.64,8,Botafogo,18,7,visitante,0,0,-1,0.351744728494122,0.291099085650308,1.34633327113267,-1.34633327113267,-4.00085472141533,3,0,-3,2,0,1.2,,1,0
51,20096BOTSAN1,6,2009,2009-06-13,18:30,Botafogo - Santos,2-0,2.5,3.25,2.72,8,Botafogo,16,5,mandante,3,1,2,0.371975594361456,0.286135072585735,1.4020618556701,1.5979381443299,-2.40291657708543,6,1,-1,4,0,1.2,0.1901035437787,1,0
63,20097VITBOT2,7,2009,2009-06-20,16:10,Vitória - Botafogo,4-3,1.99,3.23,3.78,8,Botafogo,18,3,visitante,0,0,-1,0.245713761453862,0.287553566035788,1.02469485039737,-1.02469485039737,-3.4276114274828,6,1,-2,4,0,1.2,,1,0
74,20098BOTGOI1,8,2009,2009-06-27,18:30,Botafogo - Goiás,1-4,1.96,3.32,3.78,8,Botafogo,20,8,mandante,0,0,-3,0.474185357596276,0.279940753279729,1.70249682606856,-1.70249682606856,-5.13010825355136,6,1,-5,3,0,1.2,,1,0
84,20099CAMBOT2,9,2009,2009-07-05,16:00,Atlético-MG - Botafogo,1-1,1.66,3.51,4.95,8,Botafogo,19,2,visitante,1,0,0,0.185453607952104,0.261537139419634,0.817897963275946,0.182102036724054,-4.94800621682731,7,1,-5,4,0,1.2,,1,0
91,200910AVABOT2,10,2009,2009-07-11,18:30,Avaí - Botafogo,1-2,2.4,3.26,2.76,8,Botafogo,17,20,visitante,3,1,1,0.33370867028355,0.282526358890367,1.28365236974102,1.71634763025898,-3.23165858656832,10,2,-4,4,0,1.2,,1,0
118,200912FLABOT2,12,2009,2009-07-19,18:30,Flamengo - Botafogo,2-2,2.23,3.27,3.05,8,Botafogo,17,10,visitante,1,0,0,0.302990389369721,0.28260571485555,1.19157688296471,-0.191576882964711,-3.42323546953303,11,2,-4,5,0,1.2,,1,0
